surname	frequency	cumulative_frequency	rank
Doverspike	0	77.667	19219
Doubleday	0	77.667	19220
Doten	0	77.668	19221
Dorner	0	77.668	19222
Dolson	0	77.669	19223
Dohrmann	0	77.669	19224
Disla	0	77.67	19225
Direnzo	0	77.67	19226
Dipaola	0	77.671	19227
Dines	0	77.671	19228
Dickie	0	77.672	19229
Diblasi	0	77.672	19230
Dewolf	0	77.673	19231
Desanti	0	77.673	19232
Dennehy	0	77.674	19233
Demming	0	77.674	19234
Delker	0	77.675	19235
Decola	0	77.675	19236
Davilla	0	77.676	19237
Davids	0	77.676	19238
Daughtridge	0	77.677	19239
Darville	0	77.677	19240
Darland	0	77.678	19241
Danzy	0	77.678	19242
Dandy	0	77.679	19243
Dagenais	0	77.679	19244
Culotta	0	77.68	19245
Cruzado	0	77.68	19246
Crudup	0	77.681	19247
Croswell	0	77.681	19248
Coverdale	0	77.682	19249
Covelli	0	77.682	19250
Couts	0	77.683	19251
Corbell	0	77.683	19252
Coplan	0	77.684	19253
Coolbaugh	0	77.684	19254
Conyer	0	77.685	19255
Conlee	0	77.685	19256
Conigliaro	0	77.686	19257
Comiskey	0	77.686	19258
Coberly	0	77.687	19259
Clendening	0	77.687	19260
Clairmont	0	77.688	19261
Cienfuegos	0	77.688	19262
Chojnacki	0	77.689	19263
Chilcote	0	77.689	19264
Champney	0	77.69	19265
Cassara	0	77.69	19266
Casazza	0	77.691	19267
Casado	0	77.691	19268
Carew	0	77.692	19269
Carbin	0	77.692	19270
Carabajal	0	77.693	19271
Calcagni	0	77.693	19272
Cail	0	77.694	19273
Caddy	0	77.694	19274
Busbee	0	77.695	19275
Burts	0	77.695	19276
Burbridge	0	77.696	19277
Bunge	0	77.696	19278
Bundick	0	77.697	19279
Buhler	0	77.697	19280
Bucker	0	77.698	19281
Bucholtz	0	77.698	19282
Bruen	0	77.698	19283
Broce	0	77.699	19284
Brite	0	77.699	19285
Brignac	0	77.7	19286
Brierly	0	77.7	19287
Bridgman	0	77.701	19288
Braham	0	77.701	19289
Bradish	0	77.702	19290
Boyington	0	77.702	19291
Borjas	0	77.703	19292
Bonnie	0	77.703	19293
Bonn	0	77.704	19294
Bonhomme	0	77.704	19295
Bohlen	0	77.705	19296
Bogardus	0	77.705	19297
Bockelman	0	77.706	19298
Blick	0	77.706	19299
Blackerby	0	77.707	19300
Bizier	0	77.707	19301
Biro	0	77.708	19302
Binney	0	77.708	19303
Bertolini	0	77.709	19304
Bertin	0	77.709	19305
Berti	0	77.71	19306
Bert	0	77.71	19307
Bento	0	77.711	19308
Beno	0	77.711	19309
Belgarde	0	77.712	19310
Belding	0	77.712	19311
Beckel	0	77.713	19312
Becerril	0	77.713	19313
Bazaldua	0	77.714	19314
Bayes	0	77.714	19315
Bayard	0	77.715	19316
Barrus	0	77.715	19317
Barris	0	77.716	19318
Baros	0	77.716	19319
Bara	0	77.717	19320
Ballow	0	77.717	19321
Balboa	0	77.718	19322
Bakewell	0	77.718	19323
Baginski	0	77.719	19324
Badalamenti	0	77.719	19325
Backhaus	0	77.72	19326
Avilez	0	77.72	19327
Auvil	0	77.721	19328
Atteberry	0	77.721	19329
Ardon	0	77.722	19330
Anzaldua	0	77.722	19331
Anello	0	77.723	19332
Amsler	0	77.723	19333
Amo	0	77.724	19334
Ambrosio	0	77.724	19335
Althouse	0	77.725	19336
Alles	0	77.725	19337
Alix	0	77.726	19338
Alberti	0	77.726	19339
Alberson	0	77.727	19340
Aitchison	0	77.727	19341
Aguinaga	0	77.728	19342
Ziemann	0	77.728	19343
Zickefoose	0	77.729	19344
Zerr	0	77.729	19345
Zeh	0	77.729	19346
Zeck	0	77.73	19347
Zartman	0	77.73	19348
Zahm	0	77.731	19349
Zabriskie	0	77.731	19350
Yohn	0	77.732	19351
Yellowhair	0	77.732	19352
Yeaton	0	77.733	19353
Yarnall	0	77.733	19354
Yaple	0	77.734	19355
Wolski	0	77.734	19356
Wixon	0	77.735	19357
Winford	0	77.735	19358
Willner	0	77.736	19359
Willms	0	77.736	19360
Whitsitt	0	77.737	19361
Wheelwright	0	77.737	19362
Weyandt	0	77.738	19363
Wess	0	77.738	19364
Wengerd	0	77.739	19365
Weatherholtz	0	77.739	19366
Wattenbarger	0	77.739	19367
Walrath	0	77.74	19368
Walpole	0	77.74	19369
Waldrip	0	77.741	19370
Voges	0	77.741	19371
Violet	0	77.742	19372
Vinzant	0	77.742	19373
Viars	0	77.743	19374
Veres	0	77.743	19375
Veneziano	0	77.744	19376
Veillon	0	77.744	19377
Vawter	0	77.745	19378
Vaughns	0	77.745	19379
Vanwart	0	77.746	19380
Vanostrand	0	77.746	19381
Valiente	0	77.747	19382
Valderas	0	77.747	19383
Uhrig	0	77.748	19384
Tunison	0	77.748	19385
Tulloch	0	77.749	19386
Trostle	0	77.749	19387
Treaster	0	77.75	19388
Traywick	0	77.75	19389
Toye	0	77.75	19390
Tomson	0	77.751	19391
Tomasello	0	77.751	19392
Tomasek	0	77.752	19393
Tippit	0	77.752	19394
Tinajero	0	77.753	19395
Tift	0	77.753	19396
Tienda	0	77.754	19397
Thorington	0	77.754	19398
Thierry	0	77.755	19399
Thieme	0	77.755	19400
Thibeau	0	77.756	19401
Thakkar	0	77.756	19402
Tewell	0	77.757	19403
Test	0	77.757	19404
Telfer	0	77.758	19405
Sweetser	0	77.758	19406
Sum	0	77.759	19407
Stratford	0	77.759	19408
Stracener	0	77.76	19409
Stoke	0	77.76	19410
Stiverson	0	77.76	19411
Stelling	0	77.761	19412
Stefan	0	77.761	19413
Stavros	0	77.762	19414
Speaker	0	77.762	19415
Spatz	0	77.763	19416
Spagnoli	0	77.763	19417
Sorge	0	77.764	19418
Sober	0	77.764	19419
Slevin	0	77.765	19420
Slabaugh	0	77.765	19421
Simson	0	77.766	19422
Shupp	0	77.766	19423
Shoultz	0	77.767	19424
Shotts	0	77.767	19425
Shiroma	0	77.768	19426
Shetley	0	77.768	19427
Sherrow	0	77.769	19428
Sheffey	0	77.769	19429
Shawgo	0	77.77	19430
Shamburger	0	77.77	19431
Sester	0	77.77	19432
Segraves	0	77.771	19433
Seelig	0	77.771	19434
Seats	0	77.772	19435
Scioneaux	0	77.772	19436
Schwartzkopf	0	77.773	19437
Schwabe	0	77.773	19438
Scholes	0	77.774	19439
Schmuck	0	77.774	19440
Schluter	0	77.775	19441
Schlecht	0	77.775	19442
Schillaci	0	77.776	19443
Schildgen	0	77.776	19444
Schieber	0	77.777	19445
Schewe	0	77.777	19446
Schecter	0	77.778	19447
Scarpelli	0	77.778	19448
Scaglione	0	77.779	19449
Sautter	0	77.779	19450
Santelli	0	77.78	19451
Sandman	0	77.78	19452
Salmi	0	77.781	19453
Sabado	0	77.781	19454
Ryer	0	77.781	19455
Rydberg	0	77.782	19456
Ryba	0	77.782	19457
Rushford	0	77.783	19458
Running	0	77.783	19459
Runk	0	77.784	19460
Ruddick	0	77.784	19461
Rotondo	0	77.785	19462
Rote	0	77.785	19463
Rosenfield	0	77.786	19464
Roesner	0	77.786	19465
Rocchio	0	77.787	19466
Ritzer	0	77.787	19467
Rippel	0	77.788	19468
Rimes	0	77.788	19469
Riffel	0	77.789	19470
Richison	0	77.789	19471
Ribble	0	77.79	19472
Reynold	0	77.79	19473
Resh	0	77.791	19474
Rehn	0	77.791	19475
Ratti	0	77.791	19476
Rasor	0	77.792	19477
Rasnake	0	77.792	19478
Rappold	0	77.793	19479
Rando	0	77.793	19480
Radosevich	0	77.794	19481
Pulice	0	77.794	19482
Puff	0	77.795	19483
Prichett	0	77.795	19484
Pribble	0	77.796	19485
Poynor	0	77.796	19486
Plowden	0	77.797	19487
Pitzen	0	77.797	19488
Pittsley	0	77.798	19489
Pitter	0	77.798	19490
Pigeon	0	77.799	19491
Philyaw	0	77.799	19492
Philipps	0	77.8	19493
Petite	0	77.8	19494
Pestana	0	77.801	19495
Perro	0	77.801	19496
Perone	0	77.801	19497
Pera	0	77.802	19498
Peil	0	77.802	19499
Pedone	0	77.803	19500
Pawlowicz	0	77.803	19501
Pattee	0	77.804	19502
Parten	0	77.804	19503
Parlin	0	77.805	19504
Pariseau	0	77.805	19505
Paredez	0	77.806	19506
Pardon	0	77.806	19507
Panther	0	77.807	19508
Paek	0	77.807	19509
Pacifico	0	77.808	19510
Otts	0	77.808	19511
Ostrow	0	77.809	19512
Osornio	0	77.809	19513
Oslund	0	77.81	19514
Orso	0	77.81	19515
Ooten	0	77.811	19516
Onken	0	77.811	19517
Oniel	0	77.812	19518
Onan	0	77.812	19519
Ollison	0	77.812	19520
Ohlsen	0	77.813	19521
Ohlinger	0	77.813	19522
Odowd	0	77.814	19523
Niemiec	0	77.814	19524
Neubert	0	77.815	19525
Nembhard	0	77.815	19526
Neaves	0	77.816	19527
Neathery	0	77.816	19528
Nakasone	0	77.817	19529
Myerson	0	77.817	19530
Muto	0	77.818	19531
Muntz	0	77.818	19532
Munez	0	77.819	19533
Mumme	0	77.819	19534
Mumm	0	77.82	19535
Mujica	0	77.82	19536
Muise	0	77.821	19537
Muench	0	77.821	19538
Morriss	0	77.822	19539
Molock	0	77.822	19540
Mishoe	0	77.822	19541
Minier	0	77.823	19542
Metzgar	0	77.823	19543
Mero	0	77.824	19544
Meiser	0	77.824	19545
Meese	0	77.825	19546
Meals	0	77.825	19547
Mcsween	0	77.826	19548
Mcquire	0	77.826	19549
Mcquinn	0	77.827	19550
Mcpheeters	0	77.827	19551
Mckeller	0	77.828	19552
Mcilrath	0	77.828	19553
Mcgown	0	77.829	19554
Mcdavis	0	77.829	19555
Mccuen	0	77.83	19556
Mcclenton	0	77.83	19557
Maxham	0	77.831	19558
Matsui	0	77.831	19559
Marriner	0	77.832	19560
Marlette	0	77.832	19561
Mantle	0	77.832	19562
Mansur	0	77.833	19563
Mancino	0	77.833	19564
Maland	0	77.834	19565
Majka	0	77.834	19566
Maisch	0	77.835	19567
Maheux	0	77.835	19568
Madry	0	77.836	19569
Madriz	0	77.836	19570
Mackley	0	77.837	19571
Macke	0	77.837	19572
Lydick	0	77.838	19573
Lutterman	0	77.838	19574
Luppino	0	77.839	19575
Lundahl	0	77.839	19576
Lovingood	0	77.84	19577
Loudon	0	77.84	19578
Longmore	0	77.841	19579
Lippman	0	77.841	19580
Liefer	0	77.842	19581
Leveque	0	77.842	19582
Lescarbeau	0	77.843	19583
Lemmer	0	77.843	19584
Ledgerwood	0	77.843	19585
Lawver	0	77.844	19586
Lawrie	0	77.844	19587
Lattea	0	77.845	19588
Lasko	0	77.845	19589
Lahman	0	77.846	19590
Kulpa	0	77.846	19591
Kukowski	0	77.847	19592
Kukla	0	77.847	19593
Kubota	0	77.848	19594
Kubala	0	77.848	19595
Krizan	0	77.849	19596
Kriz	0	77.849	19597
Krikorian	0	77.85	19598
Kravetz	0	77.85	19599
Kramp	0	77.851	19600
Kowaleski	0	77.851	19601
Knobloch	0	77.852	19602
Klosterman	0	77.852	19603
Kloster	0	77.853	19604
Klepper	0	77.853	19605
Kirven	0	77.853	19606
Kinnaman	0	77.854	19607
Kinnaird	0	77.854	19608
Killam	0	77.855	19609
Kiesling	0	77.855	19610
Kesner	0	77.856	19611
Keebler	0	77.856	19612
Keagle	0	77.857	19613
Karls	0	77.857	19614
Kapinos	0	77.858	19615
Kantner	0	77.858	19616
Kaba	0	77.859	19617
Junious	0	77.859	19618
Jefferys	0	77.86	19619
Jacquet	0	77.86	19620
Izzi	0	77.861	19621
Ishii	0	77.861	19622
Irion	0	77.862	19623
Ifill	0	77.862	19624
Hyun	0	77.863	19625
Hotard	0	77.863	19626
Horman	0	77.863	19627
Hoppes	0	77.864	19628
Hopkin	0	77.864	19629
Hokanson	0	77.865	19630
Hoda	0	77.865	19631
Hocutt	0	77.866	19632
Hoaglin	0	77.866	19633
Hites	0	77.867	19634
Hirai	0	77.867	19635
Hindle	0	77.868	19636
Hinch	0	77.868	19637
Hilty	0	77.869	19638
Hild	0	77.869	19639
Hier	0	77.87	19640
Hickle	0	77.87	19641
Hibler	0	77.871	19642
Henrichs	0	77.871	19643
Hempstead	0	77.872	19644
Helmers	0	77.872	19645
Hellard	0	77.873	19646
Heims	0	77.873	19647
Heidler	0	77.874	19648
Hearst	0	77.874	19649
Hawbaker	0	77.874	19650
Hau	0	77.875	19651
Harkleroad	0	77.875	19652
Harari	0	77.876	19653
Hanney	0	77.876	19654
Hannaford	0	77.877	19655
Hamid	0	77.877	19656
Hamburger	0	77.878	19657
Haltom	0	77.878	19658
Hallford	0	77.879	19659
Guilliams	0	77.879	19660
Guerette	0	77.88	19661
Gryder	0	77.88	19662
Groseclose	0	77.881	19663
Groen	0	77.881	19664
Grimley	0	77.882	19665
Greenidge	0	77.882	19666
Greek	0	77.883	19667
Graffam	0	77.883	19668
Goucher	0	77.884	19669
Goodenough	0	77.884	19670
Goldsborough	0	77.884	19671
Goldie	0	77.885	19672
Gloster	0	77.885	19673
Glanton	0	77.886	19674
Gladson	0	77.886	19675
Gladding	0	77.887	19676
Ghee	0	77.887	19677
Gethers	0	77.888	19678
Gerstein	0	77.888	19679
Geesey	0	77.889	19680
Geddie	0	77.889	19681
Gayer	0	77.89	19682
Gaw	0	77.89	19683
Gaver	0	77.891	19684
Gauntt	0	77.891	19685
Gartland	0	77.892	19686
Garriga	0	77.892	19687
Garoutte	0	77.893	19688
Gao	0	77.893	19689
Gan	0	77.894	19690
Fronk	0	77.894	19691
Fritze	0	77.894	19692
Frenzel	0	77.895	19693
Forgione	0	77.895	19694
Fluitt	0	77.896	19695
Flinchbaugh	0	77.896	19696
Flach	0	77.897	19697
Fiorito	0	77.897	19698
Finan	0	77.898	19699
Finamore	0	77.898	19700
Fimbres	0	77.899	19701
Fillman	0	77.899	19702
File	0	77.9	19703
Figeroa	0	77.9	19704
Ficklin	0	77.901	19705
Feher	0	77.901	19706
Feddersen	0	77.902	19707
Fambro	0	77.902	19708
Fairbairn	0	77.903	19709
Eves	0	77.903	19710
Esperanza	0	77.904	19711
Escalona	0	77.904	19712
Elsey	0	77.905	19713
Eisenstein	0	77.905	19714
Ehrenberg	0	77.905	19715
Eargle	0	77.906	19716
Dress	0	77.906	19717
Drane	0	77.907	19718
Dorothy	0	77.907	19719
Doria	0	77.908	19720
Dogan	0	77.908	19721
Dively	0	77.909	19722
Dewolfe	0	77.909	19723
Dettman	0	77.91	19724
Desiderio	0	77.91	19725
Desch	0	77.911	19726
Dennen	0	77.911	19727
Denk	0	77.912	19728
Demaris	0	77.912	19729
Delsignore	0	77.913	19730
Dejarnette	0	77.913	19731
Deere	0	77.914	19732
Dedman	0	77.914	19733
Daws	0	77.915	19734
Dawn	0	77.915	19735
Dauphinais	0	77.915	19736
Danz	0	77.916	19737
Dantin	0	77.916	19738
Dannenberg	0	77.917	19739
Dalby	0	77.917	19740
Currence	0	77.918	19741
Culwell	0	77.918	19742
Cuesta	0	77.919	19743
Croston	0	77.919	19744
Crossno	0	77.92	19745
Cromley	0	77.92	19746
Crisci	0	77.921	19747
Craw	0	77.921	19748
Coryell	0	77.922	19749
Cooter	0	77.922	19750
Condra	0	77.923	19751
Columbia	0	77.923	19752
Colpitts	0	77.924	19753
Colas	0	77.924	19754
Coach	0	77.925	19755
Clink	0	77.925	19756
Clevinger	0	77.925	19757
Clermont	0	77.926	19758
Cistrunk	0	77.926	19759
Cirilo	0	77.927	19760
Chirico	0	77.927	19761
Chiarello	0	77.928	19762
Cephus	0	77.928	19763
Cecena	0	77.929	19764
Cavaliere	0	77.929	19765
Caughey	0	77.93	19766
Casimir	0	77.93	19767
Carwell	0	77.931	19768
Carlon	0	77.931	19769
Carbonaro	0	77.932	19770
Caraveo	0	77.932	19771
Cantley	0	77.933	19772
Callejas	0	77.933	19773
Cagney	0	77.934	19774
Cadieux	0	77.934	19775
Cabaniss	0	77.935	19776
Bushard	0	77.935	19777
Burlew	0	77.936	19778
Buras	0	77.936	19779
Budzinski	0	77.936	19780
Bucklew	0	77.937	19781
Bruneau	0	77.937	19782
Brummer	0	77.938	19783
Brueggemann	0	77.938	19784
Brotzman	0	77.939	19785
Bross	0	77.939	19786
Broad	0	77.94	19787
Brittian	0	77.94	19788
Brimage	0	77.941	19789
Briles	0	77.941	19790
Brickman	0	77.942	19791
Breneman	0	77.942	19792
Breitenstein	0	77.943	19793
Brandel	0	77.943	19794
Brackins	0	77.944	19795
Boydstun	0	77.944	19796
Botta	0	77.945	19797
Bosket	0	77.945	19798
Boros	0	77.946	19799
Borgmann	0	77.946	19800
Bordeau	0	77.946	19801
Bonifacio	0	77.947	19802
Bolten	0	77.947	19803
Boehman	0	77.948	19804
Blundell	0	77.948	19805
Bloodsaw	0	77.949	19806
Bjerke	0	77.949	19807
Biffle	0	77.95	19808
Bickett	0	77.95	19809
Bickers	0	77.951	19810
Beville	0	77.951	19811
Bergren	0	77.952	19812
Bergey	0	77.952	19813
Benzing	0	77.953	19814
Belfiore	0	77.953	19815
Beirne	0	77.954	19816
Beckert	0	77.954	19817
Bebout	0	77.955	19818
Baumert	0	77.955	19819
Battey	0	77.956	19820
Bartman	0	77.956	19821
Barrs	0	77.956	19822
Barriere	0	77.957	19823
Barcelo	0	77.957	19824
Barbe	0	77.958	19825
Balliet	0	77.958	19826
Baham	0	77.959	19827
Babst	0	77.959	19828
Auton	0	77.96	19829
Asper	0	77.96	19830
Asbell	0	77.961	19831
Arzate	0	77.961	19832
Argento	0	77.962	19833
Arel	0	77.962	19834
Araki	0	77.963	19835
Arai	0	77.963	19836
Apo	0	77.964	19837
Antley	0	77.964	19838
Amodeo	0	77.965	19839
Ammann	0	77.965	19840
Allyn	0	77.966	19841
Allensworth	0	77.966	19842
Aldape	0	77.967	19843
Akey	0	77.967	19844
Abeita	0	77.967	19845
Zweifel	0	77.968	19846
Zeng	0	77.968	19847
Zeiler	0	77.969	19848
Zamor	0	77.969	19849
Zalenski	0	77.97	19850
Yzaguirre	0	77.97	19851
Yousef	0	77.971	19852
Yetman	0	77.971	19853
Yau	0	77.972	19854
Wyer	0	77.972	19855
Woolwine	0	77.973	19856
Wohlgemuth	0	77.973	19857
Wohlers	0	77.973	19858
Wittenberg	0	77.974	19859
Wingrove	0	77.974	19860
Wind	0	77.975	19861
Wimsatt	0	77.975	19862
Willimas	0	77.976	19863
Wilkenson	0	77.976	19864
Wildey	0	77.977	19865
Wilderman	0	77.977	19866
Wilczynski	0	77.978	19867
Wigton	0	77.978	19868
Whorley	0	77.979	19869
Wellons	0	77.979	19870
Welles	0	77.979	19871
Welle	0	77.98	19872
Weirich	0	77.98	19873
Weideman	0	77.981	19874
Weide	0	77.981	19875
Weekly	0	77.982	19876
Weast	0	77.982	19877
Wasmund	0	77.983	19878
Warshaw	0	77.983	19879
Walson	0	77.984	19880
Waldner	0	77.984	19881
Walch	0	77.985	19882
Walberg	0	77.985	19883
Wagener	0	77.985	19884
Wageman	0	77.986	19885
Vrieze	0	77.986	19886
Vossen	0	77.987	19887
Vorce	0	77.987	19888
Voorhis	0	77.988	19889
Vonderheide	0	77.988	19890
Viruet	0	77.989	19891
Vicari	0	77.989	19892
Verne	0	77.99	19893
Velasques	0	77.99	19894
Vautour	0	77.991	19895
Vartanian	0	77.991	19896
Varona	0	77.991	19897
Vankeuren	0	77.992	19898
Vandine	0	77.992	19899
Vandermeer	0	77.993	19900
Ursery	0	77.993	19901
Underdown	0	77.994	19902
Uhrich	0	77.994	19903
Uhlman	0	77.995	19904
Tworek	0	77.995	19905
Twine	0	77.996	19906
Twellman	0	77.996	19907
Tweedie	0	77.997	19908
Tutino	0	77.997	19909
Turmelle	0	77.997	19910
Tubb	0	77.998	19911
Troop	0	77.998	19912
Trivedi	0	77.999	19913
Triano	0	77.999	19914
Trevathan	0	78	19915
Treese	0	78	19916
Treanor	0	78.001	19917
Treacy	0	78.001	19918
Traina	0	78.002	19919
Topham	0	78.002	19920
Toenjes	0	78.002	19921
Tippetts	0	78.003	19922
Tieu	0	78.003	19923
Thomure	0	78.004	19924
Thatch	0	78.004	19925
Than	0	78.005	19926
Tetzlaff	0	78.005	19927
Tetterton	0	78.006	19928
Tena	0	78.006	19929
Tell	0	78.007	19930
Teamer	0	78.007	19931
Tappan	0	78.008	19932
Tank	0	78.008	19933
Talcott	0	78.008	19934
Tagg	0	78.009	19935
Szczepanski	0	78.009	19936
Syring	0	78.01	19937
Surace	0	78.01	19938
Sulzer	0	78.011	19939
Sugrue	0	78.011	19940
Sugarman	0	78.012	19941
Suess	0	78.012	19942
Styons	0	78.013	19943
Stwart	0	78.013	19944
Stupka	0	78.014	19945
Strey	0	78.014	19946
Straube	0	78.014	19947
Strate	0	78.015	19948
Stoddart	0	78.015	19949
Stockbridge	0	78.016	19950
Stjames	0	78.016	19951
Stinger	0	78.017	19952
Steimle	0	78.017	19953
Steenberg	0	78.018	19954
Start	0	78.018	19955
Stamand	0	78.019	19956
Staller	0	78.019	19957
Stahly	0	78.02	19958
Stager	0	78.02	19959
Spurgin	0	78.02	19960
Sprow	0	78.021	19961
Sponsler	0	78.021	19962
Speas	0	78.022	19963
Spainhour	0	78.022	19964
Sones	0	78.023	19965
Smits	0	78.023	19966
Smelcer	0	78.024	19967
Slovak	0	78.024	19968
Slaten	0	78.025	19969
Singleterry	0	78.025	19970
Simien	0	78.026	19971
Sidebottom	0	78.026	19972
Sibrian	0	78.026	19973
Shellhammer	0	78.027	19974
Shelburne	0	78.027	19975
Shambo	0	78.028	19976
Sepeda	0	78.028	19977
Seigel	0	78.029	19978
Scogin	0	78.029	19979
Scianna	0	78.03	19980
Schmoll	0	78.03	19981
Schmelzer	0	78.031	19982
Scheu	0	78.031	19983
Schachter	0	78.032	19984
Savant	0	78.032	19985
Sauseda	0	78.032	19986
Satcher	0	78.033	19987
Sandor	0	78.033	19988
Sampsell	0	78.034	19989
Rugh	0	78.034	19990
Rufener	0	78.035	19991
Rudolf	0	78.035	19992
Rotenberry	0	78.036	19993
Rossow	0	78.036	19994
Rossbach	0	78.037	19995
Roots	0	78.037	19996
Rollman	0	78.038	19997
Rodrique	0	78.038	19998
Rodreguez	0	78.038	19999
Rodkey	0	78.039	20000
Roda	0	78.039	20001
Rising	0	78.04	20002
Rini	0	78.04	20003
Riggan	0	78.041	20004
Rients	0	78.041	20005
Riedl	0	78.042	20006
Rhines	0	78.042	20007
Ress	0	78.043	20008
Reinbold	0	78.043	20009
Raschke	0	78.044	20010
Rardin	0	78.044	20011
Rain	0	78.044	20012
Racicot	0	78.045	20013
Quillin	0	78.045	20014
Pushard	0	78.046	20015
Primrose	0	78.046	20016
Pries	0	78.047	20017
Pressey	0	78.047	20018
Precourt	0	78.048	20019
Pratts	0	78.048	20020
Postel	0	78.049	20021
Poppell	0	78.049	20022
Plumer	0	78.05	20023
Pingree	0	78.05	20024
Pieroni	0	78.05	20025
Pflug	0	78.051	20026
Petre	0	78.051	20027
Petrarca	0	78.052	20028
Peterka	0	78.052	20029
Peru	0	78.053	20030
Perkin	0	78.053	20031
Pergande	0	78.054	20032
Peranio	0	78.054	20033
Penna	0	78.055	20034
Pekar	0	78.055	20035
Pea	0	78.056	20036
Paulhus	0	78.056	20037
Pasquariello	0	78.056	20038
Parras	0	78.057	20039
Parmentier	0	78.057	20040
Para	0	78.058	20041
Panzer	0	78.058	20042
Pamplin	0	78.059	20043
Oviatt	0	78.059	20044
Osterhoudt	0	78.06	20045
Ostendorf	0	78.06	20046
Osmun	0	78.061	20047
Ortman	0	78.061	20048
Orloff	0	78.062	20049
Orban	0	78.062	20050
Onofrio	0	78.062	20051
Olveda	0	78.063	20052
Oltman	0	78.063	20053
Okeeffe	0	78.064	20054
Ocana	0	78.064	20055
Nunemaker	0	78.065	20056
Novy	0	78.065	20057
Noffsinger	0	78.066	20058
Nish	0	78.066	20059
Niday	0	78.067	20060
Nethery	0	78.067	20061
Nestle	0	78.068	20062
Nemitz	0	78.068	20063
Neidert	0	78.068	20064
Nadal	0	78.069	20065
Nack	0	78.069	20066
Muszynski	0	78.07	20067
Munsterman	0	78.07	20068
Mulherin	0	78.071	20069
Mortimore	0	78.071	20070
Morter	0	78.072	20071
Montesino	0	78.072	20072
Montalvan	0	78.073	20073
Montalbano	0	78.073	20074
Momon	0	78.073	20075
Moman	0	78.074	20076
Mom	0	78.074	20077
Mogan	0	78.075	20078
Minns	0	78.075	20079
Millward	0	78.076	20080
Milling	0	78.076	20081
Michelsen	0	78.077	20082
Micheal	0	78.077	20083
Mewborn	0	78.078	20084
Metro	0	78.078	20085
Metayer	0	78.079	20086
Mensch	0	78.079	20087
Meloy	0	78.079	20088
Meggs	0	78.08	20089
Meaders	0	78.08	20090
Mcsorley	0	78.081	20091
Mcmenamin	0	78.081	20092
Mclead	0	78.082	20093
Mclauchlin	0	78.082	20094
Mcguffey	0	78.083	20095
Mcguckin	0	78.083	20096
Mcglaughlin	0	78.084	20097
Mcferron	0	78.084	20098
Mcentyre	0	78.085	20099
Mccrum	0	78.085	20100
Mccawley	0	78.085	20101
Mcbain	0	78.086	20102
Mayhue	0	78.086	20103
Mau	0	78.087	20104
Matzen	0	78.087	20105
Matton	0	78.088	20106
Marsee	0	78.088	20107
Marrin	0	78.089	20108
Marland	0	78.089	20109
Markum	0	78.09	20110
Mantilla	0	78.09	20111
Manfre	0	78.091	20112
Malta	0	78.091	20113
Makuch	0	78.091	20114
Madlock	0	78.092	20115
Maclaren	0	78.092	20116
Macauley	0	78.093	20117
Luzier	0	78.093	20118
Luthy	0	78.094	20119
Lufkin	0	78.094	20120
Lucena	0	78.095	20121
Loudin	0	78.095	20122
Lothrop	0	78.096	20123
Lorch	0	78.096	20124
Lona	0	78.097	20125
Loll	0	78.097	20126
Loadholt	0	78.097	20127
Lisa	0	78.098	20128
Lippold	0	78.098	20129
Likes	0	78.099	20130
Lichtman	0	78.099	20131
Liberto	0	78.1	20132
Liakos	0	78.1	20133
Lewicki	0	78.101	20134
Levett	0	78.101	20135
Level	0	78.102	20136
Lentine	0	78.102	20137
Leja	0	78.103	20138
Legree	0	78.103	20139
Lawhead	0	78.103	20140
Lauro	0	78.104	20141
Lauder	0	78.104	20142
Lard	0	78.105	20143
Lanman	0	78.105	20144
Lank	0	78.106	20145
Laning	0	78.106	20146
Lama	0	78.107	20147
Lalor	0	78.107	20148
Krob	0	78.108	20149
Kriger	0	78.108	20150
Kriegel	0	78.109	20151
Krejci	0	78.109	20152
Kreisel	0	78.109	20153
Kozel	0	78.11	20154
Kos	0	78.11	20155
Konkel	0	78.111	20156
Kolstad	0	78.111	20157
Koenen	0	78.112	20158
Kocsis	0	78.112	20159
Knoblock	0	78.113	20160
Knebel	0	78.113	20161
Klopfer	0	78.114	20162
Klee	0	78.114	20163
Kilday	0	78.115	20164
Kesten	0	78.115	20165
Kerbs	0	78.115	20166
Kempker	0	78.116	20167
Keathley	0	78.116	20168
Kazee	0	78.117	20169
Kawasaki	0	78.117	20170
Kaur	0	78.118	20171
Kamer	0	78.118	20172
Kamaka	0	78.119	20173
Kallenbach	0	78.119	20174
Kafka	0	78.12	20175
Jerrell	0	78.12	20176
Jehle	0	78.121	20177
Jaycox	0	78.121	20178
Jardin	0	78.121	20179
Jahns	0	78.122	20180
Ivester	0	78.122	20181
Hyppolite	0	78.123	20182
Hyche	0	78.123	20183
Husbands	0	78.124	20184
Hur	0	78.124	20185
Huppert	0	78.125	20186
Hulin	0	78.125	20187
Hubley	0	78.126	20188
Horsey	0	78.126	20189
Hornak	0	78.127	20190
Holzwarth	0	78.127	20191
Holmon	0	78.127	20192
Hollabaugh	0	78.128	20193
Holaway	0	78.128	20194
Hodes	0	78.129	20195
Hoak	0	78.129	20196
Hinesley	0	78.13	20197
Hillwig	0	78.13	20198
Hillebrand	0	78.131	20199
Highfield	0	78.131	20200
Heslop	0	78.132	20201
